Movie_Title,Domestic,International,Budget,Distributor,MPAA-Rating,Runtime,Genres,Release_Year
Cold Mountain,95636509,77377000,79000000.0,Miramax,R,154,Romance,2003
Cold Mountain,95636509,77377000,79000000.0,Miramax,R,154,War,2003
Honey,30308417,31919978,18000000.0,Universal Pictures,PG-13,94,Drama,2003
Honey,30308417,31919978,18000000.0,Universal Pictures,PG-13,94,Music,2003
Honey,30308417,31919978,18000000.0,Universal Pictures,PG-13,94,Romance,2003
A Man Apart,26736098,17614828,36000000.0,New Line Cinema,R,109,Action,2003
A Man Apart,26736098,17614828,36000000.0,New Line Cinema,R,109,Crime,2003
A Man Apart,26736098,17614828,36000000.0,New Line Cinema,R,109,Drama,2003
A Man Apart,26736098,17614828,36000000.0,New Line Cinema,R,109,Thriller,2003
Basic,26793311,15999250,36000000.0,Sony Pictures Entertainment (SPE),R,98,Action,2003
Basic,26793311,15999250,36000000.0,Sony Pictures Entertainment (SPE),R,98,Crime,2003
Basic,26793311,15999250,36000000.0,Sony Pictures Entertainment (SPE),R,98,Drama,2003
Basic,26793311,15999250,36000000.0,Sony Pictures Entertainment (SPE),R,98,Mystery,2003
Basic,26793311,15999250,36000000.0,Sony Pictures Entertainment (SPE),R,98,Thriller,2003
Stuck on You,33832741,31951762,36000000.0,Twentieth Century Fox,PG-13,118,Comedy,2003
Sinbad: Legend of the Seven Seas,26483452,54289625,60000000.0,DreamWorks Distribution,PG,88,Adventure,2003
Sinbad: Legend of the Seven Seas,26483452,54289625,60000000.0,DreamWorks Distribution,PG,88,Animation,2003
Sinbad: Legend of the Seven Seas,26483452,54289625,60000000.0,DreamWorks Distribution,PG,88,Family,2003
Sinbad: Legend of the Seven Seas,26483452,54289625,60000000.0,DreamWorks Distribution,PG,88,Fantasy,2003
Dumb and Dumberer: When Harry Met Lloyd,26276465,12991050,19000000.0,New Line Cinema,PG-13,85,Comedy,2003
The Missing,27011180,11353097,36000000.0,Revolution Studios,R,137,Adventure,2003
The Missing,27011180,11353097,36000000.0,Revolution Studios,R,137,Thriller,2003
The Missing,27011180,11353097,36000000.0,Revolution Studios,R,137,Western,2003
Paycheck,53790451,63458507,60000000.0,Paramount Pictures,PG-13,119,Action,2003
Paycheck,53790451,63458507,60000000.0,Paramount Pictures,PG-13,119,Mystery,2003
Paycheck,53790451,63458507,60000000.0,Paramount Pictures,PG-13,119,Sci-Fi,2003
Paycheck,53790451,63458507,60000000.0,Paramount Pictures,PG-13,119,Thriller,2003
Bulletproof Monk,23358708,14355171,52000000.0,Metro-Goldwyn-Mayer (MGM),PG-13,104,Action,2003
Bulletproof Monk,23358708,14355171,52000000.0,Metro-Goldwyn-Mayer (MGM),PG-13,104,Comedy,2003
Bulletproof Monk,23358708,14355171,52000000.0,Metro-Goldwyn-Mayer (MGM),PG-13,104,Fantasy,2003
Piglet's Big Movie,23103423,39767123,36000000.0,Walt Disney Studios Motion Pictures,Not Rated,75,Adventure,2003
Piglet's Big Movie,23103423,39767123,36000000.0,Walt Disney Studios Motion Pictures,Not Rated,75,Animation,2003
Piglet's Big Movie,23103423,39767123,36000000.0,Walt Disney Studios Motion Pictures,Not Rated,75,Comedy,2003
Piglet's Big Movie,23103423,39767123,36000000.0,Walt Disney Studios Motion Pictures,Not Rated,75,Family,2003
Piglet's Big Movie,23103423,39767123,36000000.0,Walt Disney Studios Motion Pictures,Not Rated,75,Musical,2003
Piglet's Big Movie,23103423,39767123,36000000.0,Walt Disney Studios Motion Pictures,Not Rated,75,Mystery,2003
Dickie Roberts: Former Child Star,22738671,1030834,17000000.0,Paramount Pictures,PG-13,98,Comedy,2003
The Medallion,22219192,12049509,36000000.0,TriStar Pictures,PG-13,88,Action,2003
The Medallion,22219192,12049509,36000000.0,TriStar Pictures,PG-13,88,Comedy,2003
The Medallion,22219192,12049509,36000000.0,TriStar Pictures,PG-13,88,Fantasy,2003
Peter Pan,48462608,73512403,100000000.0,Universal Pictures,PG,113,Adventure,2003
Peter Pan,48462608,73512403,100000000.0,Universal Pictures,PG,113,Family,2003
Peter Pan,48462608,73512403,100000000.0,Universal Pictures,PG,113,Fantasy,2003
Peter Pan,48462608,73512403,100000000.0,Universal Pictures,PG,113,Romance,2003
Biker Boyz,22076772,1433849,24000000.0,DreamWorks Distribution,PG-13,110,Action,2003
Biker Boyz,22076772,1433849,24000000.0,DreamWorks Distribution,PG-13,110,Drama,2003
Cold Creek Manor,21386011,7733423,36000000.0,Walt Disney Studios Motion Pictures,R,118,Drama,2003
Cold Creek Manor,21386011,7733423,36000000.0,Walt Disney Studios Motion Pictures,R,118,Mystery,2003
Cold Creek Manor,21386011,7733423,36000000.0,Walt Disney Studios Motion Pictures,R,118,Thriller,2003
Cabin Fever,21158188,9395206,1500000.0,Lionsgate,R,93,Horror,2003
Whale Rider,20779666,20283310,3500000.0,Newmarket Films,PG-13,101,Drama,2003
Whale Rider,20779666,20283310,3500000.0,Newmarket Films,PG-13,101,Family,2003
The In-Laws,20453431,6438418,36000000.0,Warner Bros.,PG-13,98,Action,2003
The In-Laws,20453431,6438418,36000000.0,Warner Bros.,PG-13,98,Comedy,2003
The In-Laws,20453431,6438418,36000000.0,Warner Bros.,PG-13,98,Thriller,2003
Looney Tunes: Back in Action,20991364,47523480,80000000.0,Warner Bros.,PG,93,Action,2003
Looney Tunes: Back in Action,20991364,47523480,80000000.0,Warner Bros.,PG,93,Adventure,2003
Looney Tunes: Back in Action,20991364,47523480,80000000.0,Warner Bros.,PG,93,Animation,2003
Looney Tunes: Back in Action,20991364,47523480,80000000.0,Warner Bros.,PG,93,Comedy,2003
Looney Tunes: Back in Action,20991364,47523480,80000000.0,Warner Bros.,PG,93,Family,2003
Looney Tunes: Back in Action,20991364,47523480,80000000.0,Warner Bros.,PG,93,Mystery,2003
Down with Love,20305251,19162860,36000000.0,Twentieth Century Fox,PG-13,101,Comedy,2003
Down with Love,20305251,19162860,36000000.0,Twentieth Century Fox,PG-13,101,Romance,2003
The Life of David Gale,19955598,19000000,38000000.0,Universal Pictures,R,130,Crime,2003
The Life of David Gale,19955598,19000000,38000000.0,Universal Pictures,R,130,Drama,2003
The Life of David Gale,19955598,19000000,38000000.0,Universal Pictures,R,130,Thriller,2003
Timeline,19481943,24453820,80000000.0,Paramount Pictures,PG-13,116,Action,2003
Timeline,19481943,24453820,80000000.0,Paramount Pictures,PG-13,116,Adventure,2003
